id,funds
1,greylock-partners-israel
2,accel
3,acton-capital-partners
4,adjacent
5,alven-capital
6,angular-ventures
7,anthemis-group
8,atomico
9,augmentum-fintech
10,balderton-capital
11,battery-ventures
12,benchmark
13,bessemer-venture-partners
14,capnamic-ventures
15,cherry-ventures
16,coatue
17,commerzventures-gmbh
18,creandum
19,credo-ventures
20,crvvc
21,dawn-capital
22,dn-capital
23,digital-sky-technologies-fo
24,earlybird-venture-capital
25,entree-capital
26,eqt-holdings
27,eqt-growth
28,eqtventures
29,eurazeo-com
30,felicis-ventures
31,firstmark-capital
32,firstminute-capital
33,fj-labs
34,fly-ventures
35,general-catalyst-partners
36,greycroft
37,headlinevc
38,hedosophia
39,hoxton-ventures
40,holtzbrinck-ventures
41,index-ventures
42,inovo-vc
43,insight-partners
44,kfund
45,kleiner-perkins-caufield-byers
46,la-famiglia
47,left-lane-capital
48,lightspeed-venture-partners
49,localglobe
50,moonfire-ventures
51,mosaic-ventures
52,new-enterprise-associates
53,new-wave-6e35
54,northzone-ventures
55,notion-capital
56,passion-capital
57,peak-capital
58,picus-capital
59,piton-capital
60,point-nine-capital
61,angelprime
62,ribbit-capital
63,salesforce-ventures
64,seaya-ventures
65,seed-capital
66,seedcamp
67,sequoia-capital
68,spark-capital
69,speedinvest
70,stride-vc
71,summit-partners
72,sv-angel
73,system-one-3
74,the-twenty-minute-vc
75,tiger-global
76,tiny-vc
77,union-square-ventures
78,visionaries-club
79,y-combinator
