name,logo_url,industry,hq_location,homepage_url,total_funding,round_name,last_funding,top_3_investors,funding_date,cb_link,favorite,description
"n8n","https://images.crunchbase.com/image/upload/c_pad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/ydjhgig6chouzm2mmik9","Workflow Automation","Germany","https://n8n.io/",13.5,"Series A",12.0,"Sequoia, Felicis, Firstminute",26.04.2024,"https://www.crunchbase.com/organization/n8n-io",false,"n8n is a free and open node-based Workflow Automation Tool. It can be self-hosted, easily extended, and used with third party web applications or custom in-house tools to automate repetitive tasks. With n8n, for the first time, people can move beyond simple integrations to build multi-step workflows that combine both 3rd party APIs and your own internal tools to create easy to use automations that snap together all the pieces of what would otherwise be very complex, disconnected systems."
"Copado","https://images.crunchbase.com/image/upload/c_pad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/tcxj8zcyoacn908i14z2","Developer Tools","United States","https://www.copado.com/",270.8,"Series C",140.0,"Insight, Softbank, Perpetual Growth", 13.01.2024,"https://www.crunchbase.com/organization/copado",false,"Copado is the DevOps platform enabling the largest digital transformations on Salesforce. Copado accelerates digital transformation projects by automating the release process, increasing developer productivity, and maximizing return on cloud investments. Copado DevOps 360™ includes Value Planning, Continuous Delivery, AutomatedTesting, and Compliance."
"Sparetech","https://images.crunchbase.com/image/upload/c_pad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/jxvfpcrsapqkp6xyv57y","Procurement","Germany","https://www.sparetech.io/",15.3,"Series A",10.0,"Insight, Headline, Perpetual Growth", 15.06.2024,"https://www.crunchbase.com/organization/sparetech",false,"SPARETECH creates a collaboration platform for manufacturing companies to digitize their spare part inventories, calculate their true demand, compare parts from various suppliers, and source the appropriate part outside or within their production network. The software compares spare part lists from clients to the product database and generates standardized data sets for ERP systems. They allow the customer to leverage sourcing and usage within the production network."
"Weaviate","https://images.crunchbase.com/image/upload/c_pad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/xt1pfa9berdy2nzym88q","Database","Netherlands","https://weaviate.io/",67.7,"Series B",50.0,"NEA, Index, Battery", 20.04.2023,"https://www.crunchbase.com/organization/weaviate",false,"Weaviate develops a hybrid SaaS platform to build search and recommendation systems. Its open-source AI vector search engine has extensions in the platform for specific use cases such as semantic search, plugins to integrate into any application, and a console to understand their data."
"HiBob","https://images.crunchbase.com/image/upload/c_pad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/zsdh1tldjg5pnbkjxz0c","Human Resources","Israel","https://www.hibob.com/",574.0,"Series D",150.0,"General Atlantic, Bessemer, Battery", 19.09.2023,"https://www.crunchbase.com/organization/hibob",false,"Hibob was founded to modernize HR tech. The intuitive and data-driven platform, bob, was built for the way people work today: globally, remotely, and collaboratively. Since its launch in late 2015, bob has achieved consecutive triple-digit year-over-year growth, and become the HRIS of choice for more than 1,000 modern, midsize andmultinational companies who understand that a powerful, agile HR tech suite is mission critical and a key driver of organizational success. Fast-growing companies across the globe such as Monzo, Happy Socks, Gong, Fiverr, and VaynerMedia rely upon bob to help HR and managers connect, engage, develop and retain top talent."
"Aibuild","https://images.crunchbase.com/image/upload/c_pad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/7c41cbdf98d5476aba5f1434c77b4c40","Artificial Intelligence","United Kingdom","http://ai-build.com/",13.5,"Series A",8.5,"Seedcamp, SFC Capital, IQ Capital",19.10.2023,"https://www.crunchbase.com/organization/ai-build","false","Aibuild offers the world's most advanced Additive Manufacturing software.","IQ Capital"
"Aleph Alpha","https://images.crunchbase.com/image/upload/c_pad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/sociiodqvwamgl1nynbp","Artificial Intelligence","Germany","https://aleph-alpha.com",642.8,"Series B",500,"SAP, Intel, NVIDIA",06.11.2023,"https://www.crunchbase.com/organization/aleph-alpha","false","Aleph Alpha specializes in researching, developing, and implementing AI-based technologies for both public and private sectors.","Bosch Ventures"
"AutogenAI","https://images.crunchbase.com/image/upload/c_pad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/fefqf2zx1xmbdahodspa","Artificial Intelligence","United Kingdom","https://autogenai.com/",61.7,"Series B",39.5,"Blossom Capital, Spark Capital, Salesforce Ventures",06.12.2023,"https://www.crunchbase.com/organization/autogenai","false","AutogenAI provides cutting edge natural language processing solutions to enable companies to write compelling content for bids.","Salesforce Ventures"
"Automata","https://images.crunchbase.com/image/upload/c_pad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/vliimiskq56qjtgyxyfe","Biotechnology","United Kingdom","https://automata.tech/",99.8,"Venture Round",40,"Entrepreneur First, Octopus Ventures, Hummingbird Ventures",03.10.2023,"https://www.crunchbase.com/organization/automata","false","Automata is a biotechnology company that provides workflow automation for the life sciences industry.","Dimension"
"Blockaid","https://images.crunchbase.com/image/upload/c_pad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/olepkpuycui3icstmamj","Blockchain","Israel","https://www.blockaid.io",33,"Series A",33,"Variant, Sequoia Capital, Cyberstarts",23.10.2023,"https://www.crunchbase.com/organization/blockaid","false","Blockaid enable builders to protect users from fraud, phishing and hacks.","Ribbit Capital"
"Brite Payments","https://images.crunchbase.com/image/upload/c_pad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/tmumqxe8sghjvo53rdu3","Fintech","Sweden","https://britepayments.com",60,"Series A",60,"Dawn Capital, Headline, Incore Invest",04.10.2023,"https://www.crunchbase.com/organization/brite","false","A leading provider of instant payments and payouts, powered by open banking.","Dawn Capital"
"Carbo Culture","https://images.crunchbase.com/image/upload/c_pad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/ptawaqvo9aoazfvwpea4","ESG","Finland","http://carboculture.com/",27.5,"Series A",18,"Alumni Ventures, European Innovation Council, Climate Capital",28.11.2023,"https://www.crunchbase.com/organization/carbo-culture","false","A biochar technology and project developer. The most scalable solution for industry & carbon removal","Alumni Ventures"
"Cloudsmith","https://images.crunchbase.com/image/upload/c_pad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/udr66jreywdhleuexru8","SaaS","United Kingdom","https://cloudsmith.com",29.1,"Series A",11.2,"Frontline Ventures, Sorenson Capital, Tapestry VC",28.11.2023,"https://www.crunchbase.com/organization/cloudsmith-io","false","Cloudsmith is a cloud-native platform that serves as a centralized solution for managing and distributing software assets or artifacts.","MMC Ventures"
"Colonies","https://images.crunchbase.com/image/upload/c_pad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/xkjfjm5m4paz6ktqjrec","Hospitality","France","https://www.livecolonies.com/",245.6,"Venture Round",32.7,"Allianz, Eurazeo, Financiere Saint James",01.12.2023,"https://www.crunchbase.com/organization/colonies","false","Colonies is a French startup that provides co-living housing solutions for urban devotees.","Crédit Mutuel Impact"
"Convious","https://images.crunchbase.com/image/upload/c_pad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/vjvxzyk1dh0zfd1cvbzo","SaaS","The Netherlands","http://www.convious.com",25.1,"Series A",8.9,"Market One Capital, Begin Capital, Wille Finance",13.10.2023,"https://www.crunchbase.com/organization/convious","false","Convious is the all-in-one platform built exclusively for the leisure industry.","Wille Finance"
